Year,Month,Day,Time_UTC,Latitude,Longitude,Magnitude,Depth
2009,1,1,12:43:12,-15.43,-173.14,4,35
2009,1,1,21:36:00,17.22,40.52,5,10
2009,1,1,9:50:24,-55.16,-29.09,4.7,35
2009,1,1,13:26:24,80.85,-3.03,4.8,10
2009,1,1,6:28:48,-6.92,155.18,4.6,82
2009,1,1,10:19:12,-6.83,129.99,4.7,50
2009,1,1,12:00:00,-33.8,-72.72,4.6,0
2009,1,1,12:57:36,-58.29,-21.81,4.4,10
2009,1,1,3:21:36,-6.86,155.93,4.7,50
2009,1,1,19:55:12,1.12,120.73,4.7,49
2009,1,1,11:16:48,-11.66,166.75,4.7,254
2009,1,1,2:09:36,40.62,123.02,4.1,10
2009,1,1,5:16:48,-34.84,-107.65,5.8,10
2009,1,1,13:40:48,-9.61,120.72,4.2,20
2009,1,1,2:38:24,-22.04,-179.6,4.5,601
2009,1,1,6:43:12,1.32,121.84,5.1,33
2009,1,1,16:19:12,14.73,-91.39,4.7,169
2009,1,1,17:45:36,9.43,124.15,4.5,525
2009,1,1,16:48:00,-34.88,-107.78,5,10
2009,1,1,20:09:36,44.58,148.22,4.2,59
2009,1,1,2:38:24,-4.33,101.3,5.5,19
2009,1,1,2:52:48,-4.33,101.24,5.3,26
2009,1,1,21:36:00,47.87,153.72,4.8,85
2009,1,1,8:24:00,-24.06,-66.66,4.3,195
2009,1,2,7:12:00,21.51,119.94,4.6,42
2009,1,2,1:40:48,-2.76,126.76,4.5,70
2009,1,2,4:48:00,6.8,92.22,4.1,35
2009,1,2,19:55:12,38.34,20.23,4,62
2009,1,2,20:09:36,-2.27,121.18,4.3,35
2009,1,2,10:19:12,15.88,147.17,4.5,35
2009,1,2,3:50:24,36.45,71.34,4,132
2009,1,2,4:19:12,-35.19,178.95,4,221
2009,1,2,0:28:48,7.95,126.37,4.1,98
2009,1,2,22:33:36,-58.78,-25.25,4.7,10
2009,1,2,1:55:12,32.65,138.04,5.1,333
2009,1,2,14:24:00,-34.8,-107.33,5,10
2009,1,2,8:24:00,-19.76,168.47,4.5,36
2009,1,2,11:31:12,43.13,84.82,4.2,24
2009,1,2,14:24:00,17.73,-101.15,4,42
2009,1,2,18:57:36,-19.19,-174.91,5,149
2009,1,2,6:14:24,-6.56,128.43,4.6,15
2009,1,2,15:07:12,31.9,104.19,4.7,20
2009,1,2,13:40:48,52.53,-179.23,4.6,254
2009,1,2,19:12:00,-45.41,167.02,4,55
2009,1,2,12:57:36,58.38,-151.93,5.3,65
2009,1,2,21:36:00,-39.2,177.9,4.1,58
2009,1,2,18:14:24,-20.02,66.22,4.9,10
2009,1,2,22:19:12,-20.03,66.22,4.7,10
2009,1,2,6:00:00,-6.89,124.43,4.2,618
2009,1,2,5:31:12,6.21,60.54,4.6,10
2009,1,2,3:36:00,-10.79,165.09,4.5,54
2009,1,2,14:24:00,2.15,126.57,4,35
2009,1,2,7:40:48,22.35,143.68,4.4,98
2009,1,2,4:33:36,0.62,-26.66,5.6,10
2009,1,2,15:07:12,0.79,-27.12,5.5,10
2009,1,2,14:38:24,-11.41,166.34,5.3,96
2009,1,2,0:00:00,-30.12,-72.19,4.2,26
2009,1,2,12:14:24,-28.32,-67.68,4.1,41
